Sector,Topic,Metric,Category,Unit of Measure,Code,Direct Measurement,Risk Assessment,Risk Insights,Trend Analysis,Benchmarking,Regulatory Support,,,,,,,,,,,,,,
Software & IT Services,Data Privacy & Freedom of Expression,Amount of legal and regulatory fines and settlements associated with customer privacy,Quantitative,U.S. dollars ($),TC0102-06,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Privacy & Freedom of Expression,Number of government or law enforcement requests for customer information,Quantitative,Number,TA03-04-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Privacy & Freedom of Expression,Number of records requested,Quantitative,Number,TA03-04-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Privacy & Freedom of Expression,Percentage resulting in disclosure,Quantitative,Percentage (%),TA03-04-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Privacy & Freedom of Expression,"List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring",Discussion and Analysis,n/a,TC0102-08,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Security,Number of data security breaches,Quantitative,Number,TA03-06-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Security,Percentage involving customers' personally identifiable information (PII),Quantitative,Percentage (%),TA03-06-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Security,Number of customers affected,Quantitative,Number,TA03-06-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Security,"Discussion of management approach to identifying and addressing data security risks	",Discussion and Analysis,n/a,TC0102-10,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Security,"Percentage of operations, by revenue, independently certified to a suitable third-party cybersecurity management standard",Quantitative,Percentage (%),TA03-05-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,"Recruiting & Managing a Global, Diverse Skilled Workforce",Percentage of employees that are foreign nationals,Quantitative,Percentage (%),TC0102-11,,,,,,,,,,,,,,,,,,,,
Software & IT Services,"Recruiting & Managing a Global, Diverse Skilled Workforce",Percentage of employees located offshore,Quantitative,Percentage (%),TC0102-11,,,,,,,,,,,,,,,,,,,,
Software & IT Services,"Recruiting & Managing a Global, Diverse Skilled Workforce",Employee engagement as a percentage,Quantitative,Percentage (%),TC0102-12,,,,,,,,,,,,,,,,,,,,
Software & IT Services,"Recruiting & Managing a Global, Diverse Skilled Workforce",Percentage of gender and racial/ethnic group representation for executives,Quantitative,Percentage (%),TC0102-13,,,,,,,,,,,,,,,,,,,,
Software & IT Services,"Recruiting & Managing a Global, Diverse Skilled Workforce",Percentage of gender and racial/ethnic group representation for all others,Quantitative,Percentage (%),TC0102-13,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Managing Systemic Risks from Technology Disruptions,Number of performance issues,Quantitative,Number,TC0102-14,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Managing Systemic Risks from Technology Disruptions,Number of service disruptions,Quantitative,Number,TC0102-14,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Managing Systemic Risks from Technology Disruptions,Total customer downtime,Quantitative,Days,TC0102-14,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Managing Systemic Risks from Technology Disruptions,Discussion of business continuity risks related to disruptions of operations,Discussion and Analysis,n/a,TC0102-15,,"planetarycomputer.microsoft.com-1. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (assesses future climate-related extreme events including temperature and precipitation extremes that pose infrastructure continuity risks); 
planetarycomputer.microsoft.com-2. terraclimate, TerraClimate (identifies historical drought patterns and water stress events affecting operational continuity planning)","planetarycomputer.microsoft.com-1. era5-pds, ERA5 - PDS (provides historical hourly extreme weather event data including temperature extremes, precipitation intensity, and wind for understanding continuity risk context);
geoservice.dlr.de-1. TDM_DEM_90, TanDEM-X Digital Elevation Model 90m (provides elevation data for flood and terrain hazard risk assessment affecting infrastructure continuity); 
geoservice.dlr.de-2. SUPERSITES, TerraSAR-X CEOS Geohazard Supersites (monitors geohazards including ground deformation for infrastructure stability risk context); 
geoservice.dlr.de-3. D4H, Data4Human Sentinel-1 Floodmask (identifies flood extent for flood-related operational disruption risk assessment);
eocat.esa.int-1. TerraSAR-X_TanDEM-X.full.archive.and.tasking, TerraSAR-X/TanDEM-X full archive and tasking (provides high-resolution SAR for monitoring natural hazards and coastal processes affecting infrastructure continuity); 
eocat.esa.int-2. WorldView-1.full.archive.and.tasking, WorldView-1 full archive and tasking (enables high-resolution monitoring of natural hazards and environmental risks to infrastructure);
fedeo.ceos.org-1. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Ground Temperature Northern Hemisphere (monitors permafrost stability affecting infrastructure continuity in northern regions); 
fedeo.ceos.org-2. e3dbdc32f7b6476e949d52d8d3990205, ESA Greenland Ice Sheet CCI: Zachariae Glacier Ice Velocity (tracks glacier dynamics and ice sheet changes relevant to sea level rise risk assessment);
gep-supersites-stac.terradue.com-1. csk-san-andrea-supersite, San Andrea Fault Natural Laboratory CSK and CSG data (monitors ground deformation and seismic activity along San Andreas Fault affecting infrastructure in California); 
gep-supersites-stac.terradue.com-2. csk-turkey-event-supersite, Turkey - Karamanmaras Event Supersite CSK and CSG data (tracks earthquake impacts and ground displacement in seismically active East Anatolian region); 
gep-supersites-stac.terradue.com-3. csk-iceland-supersite, Iceland Volcanoes Supersite CSK and CSG data (monitors volcanic ground deformation affecting infrastructure in geologically active Iceland); 
gep-supersites-stac.terradue.com-4. csk-flegrei-supersite, Vesuvius & Campi Flegrei Supersite CSK and CSG data (tracks volcanic ground deformation and activity near Naples affecting regional infrastructure); 
gep-supersites-stac.terradue.com-5. csk-hawaii-supersite, Hawaian Volcanoes Supersite CSK and CSG data (monitors volcanic activity and ground deformation in Hawaiian volcanic chain); 
gep-supersites-stac.terradue.com-6. csk-marmara_supersite, Marmara Region Supersite CSK and CSG data (tracks seismic ground displacement in tectonically complex Marmara region affecting Istanbul area); 
gep-supersites-stac.terradue.com-7. csk-ecuador-supersite, Ecuadorian Volcanoes Supersite CSK and CSG data (monitors volcanic ground deformation in volcanic-rich Ecuador region); 
gep-supersites-stac.terradue.com-8. csk-kamchatka-supersite, Kamchatka_Kuriles Supersite CSK and CSG data (tracks volcanic and seismic ground displacement in active Kamchatka region); 
gep-supersites-stac.terradue.com-9. csk-virunga-supersite, Virunga Supersite CSK and CSG data (monitors volcanic ground deformation in Virunga volcanic area); gep-supersites-stac.terradue.com-10. csk-china-supersite, China Earthquake Supersite CSK and CSG data (tracks seismic ground movements in earthquake-prone regions of China)","planetarycomputer.microsoft.com-1. gridmet, gridMET (tracks evolving weather patterns and extremes since 1979 affecting operational stability forecasting); 
planetarycomputer.microsoft.com-2. daymet-monthly-na, Daymet Monthly North America (analyzes long-term climate variability trends relevant to continuity planning);
geoservice.dlr.de-1. GSP_SCE_P1D, Global SnowPack Snow Cover Extent Daily (tracks extreme snow events that could disrupt operations); 
geoservice.dlr.de-2. GWP_P1D, Global WaterPack Daily (monitors flood and water extent changes indicating potential disruption risks);
fedeo.ceos.org-1. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (monitors drought conditions and soil moisture extremes affecting operational stability); 
fedeo.ceos.org-2. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Ground Temperature Northern Hemisphere (analyzes permafrost degradation trends 1997-2021 indicating infrastructure risk evolution)",,,,,,,,,,,,,,,,
Software & IT Services,Intellectual Property Protection & Competitive Behavior,Number of patent litigation cases,Quantitative,Number,TC0102-16,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Intellectual Property Protection & Competitive Behavior,Number successful,Quantitative,Number,TC0102-16,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Intellectual Property Protection & Competitive Behavior,Number as patent holder,Quantitative,Number,TC0102-16,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Intellectual Property Protection & Competitive Behavior,Amount of legal and regulatory fines and settlements associated with anti-competitive practices,Quantitative,U.S. dollars ($),TC0102-17,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
