"Sector","Topic","Metric","Category","Unit of Measure","Code","Direct Measurement","Risk Assessment","Risk Insights","Trend Analysis","Benchmarking","Regulatory Support"
"Software & IT Services","Data Privacy & Freedom of Expression","Amount of legal and regulatory fines and settlements associated with customer privacy","Quantitative","U.S. dollars ($)","TC0102-06","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Number of government or law enforcement requests for customer information","Quantitative","Number","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Number of records requested","Quantitative","Number","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage resulting in disclosure","Quantitative","Percentage (%)","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring","Discussion and Analysis","n/a","TC0102-08","","","","","",""
"Software & IT Services","Data Security","Number of data security breaches","Quantitative","Number","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Percentage involving customers' personally identifiable information (PII)","Quantitative","Percentage (%)","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Number of customers affected","Quantitative","Number","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Discussion of management approach to identifying and addressing data security risks","Discussion and Analysis","n/a","TC0102-10","","","","","",""
"Software & IT Services","Data Security","Percentage of operations, by revenue, independently certified to a suitable third-party cybersecurity management standard","Quantitative","Percentage (%)","TA03-05-01","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of employees that are foreign nationals","Quantitative","Percentage (%)","TC0102-11","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of employees located offshore","Quantitative","Percentage (%)","TC0102-11","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Employee engagement as a percentage","Quantitative","Percentage (%)","TC0102-12","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of gender and racial/ethnic group representation for executives","Quantitative","Percentage (%)","TC0102-13","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of gender and racial/ethnic group representation for all others","Quantitative","Percentage (%)","TC0102-13","","","","","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Number of performance issues","Quantitative","Number","TC0102-14","","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI (LST_cci): Land Surface Temperature from SLSTR on Sentinel 3B, L3C global product (2018-2020), v3.00 (high land surface temperatures can increase cooling loads and risk of thermal-related performance degradation at data centers, informing geographic risk screening); fedeo.ceos.org-2. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere, v5.0 (warming permafrost and ground instability pose physical risks to facilities in high-latitude regions that could lead to performance issues)","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m spatial resolution for 2019, v1.2 (land cover context around network and data center infrastructure—e.g., forested vs. urban—helps understand exposure to hazards like wildfire or flooding that may indirectly cause performance issues); fedeo.ceos.org-2. e3dbdc32f7b6476e949d52d8d3990205, ESA Greenland Ice Sheet CCI: Ice Velocity time series for the Zachariae Glacier (2015-2017), v1.1 (illustrates ice dynamics contributing to long-term sea-level rise, providing contextual insight into future coastal flooding risks that could disrupt operations)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (multi-decadal soil moisture trends reveal increasing drought or flood tendencies that may correlate with rising frequency of environment-driven performance incidents at facilities); fedeo.ceos.org-2. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product, v2.31 (decadal salinity patterns can indicate changing ocean circulation and coastal hydrological regimes that may influence long-term infrastructure risk in coastal hubs)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Number of service disruptions","Quantitative","Number","TC0102-14","","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI (LST_cci): Land Surface Temperature from SLSTR on Sentinel 3B, L3C global product (2018-2020), v3.00 (identifies regions with extreme heat that may increase probability of cooling failures and consequent service disruptions); fedeo.ceos.org-2. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere, v5.0 (tracks permafrost thaw that can compromise foundations and power/telecom lines, raising disruption risk in Arctic and sub-Arctic locations)","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m spatial resolution for 2019, v1.2 (land cover informs susceptibility to natural hazards—e.g., forest fire, landslide—that may indirectly drive outages in network or power infrastructure); fedeo.ceos.org-2. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): ACTIVE Product, Version 05.2 (daily soil moisture extremes can highlight flood-prone or drought-prone regions where supporting infrastructure may be more vulnerable to disruption)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (long-term evolution of soil moisture extremes supports analysis of whether climate-related disruptions are likely to become more frequent in specific regions); fedeo.ceos.org-2. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product, v2.31 (multi-year salinity record can be used as a proxy for changing storm tracks and freshwater inputs that may affect coastal flooding and storm surge risks impacting service continuity)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Total customer downtime","Quantitative","Days","TC0102-14","","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI (LST_cci): Land Surface Temperature from SLSTR on Sentinel 3B, L3C global product (2018-2020), v3.00 (supports mapping of extreme heat events that could trigger cooling system failures and prolonged downtime at data centers); fedeo.ceos.org-2. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere, v5.0 (identifies regions where ground instability from thawing permafrost may cause extended outages due to structural damage)","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m spatial resolution for 2019, v1.2 (land cover context helps interpret why certain sites may experience longer recovery times after natural hazards—for example, remote forested areas vs. urban centers); fedeo.ceos.org-2. e3dbdc32f7b6476e949d52d8d3990205, ESA Greenland Ice Sheet CCI: Ice Velocity time series for the Zachariae Glacier (2015-2017), v1.1 (provides context on ice dynamics contributing to long-term sea-level rise, which can influence the likelihood of prolonged coastal flooding and downtime for coastal facilities)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (decades of soil moisture data allow analysis of changing frequency and duration of hydrological extremes that may correlate with trends in climate-driven downtime); fedeo.ceos.org-2. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product, v2.31 (time series of salinity anomalies can be linked to evolving storminess and coastal hazard regimes that may affect duration of outages in coastal hubs)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Discussion of business continuity risks related to disruptions of operations","Discussion and Analysis","n/a","TC0102-15","","fedeo.ceos.org-1. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere, v5.0 (provides spatially explicit permafrost temperature fields that can be overlaid with facility locations to assess business continuity risks from ground instability and infrastructure damage); fedeo.ceos.org-2. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI (LST_cci): Land Surface Temperature from SLSTR on Sentinel 3B, L3C global product (2018-2020), v3.00 (supports assessment of heatwave exposure and associated risks to power and cooling systems critical to business continuity)","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m spatial resolution for 2019, v1.2 (land cover information helps describe environmental context—such as proximity to forests, wetlands, or urban areas—that shapes hazard exposure and recovery logistics in business continuity planning); fedeo.ceos.org-2. e3dbdc32f7b6476e949d52d8d3990205, ESA Greenland Ice Sheet CCI: Ice Velocity time series for the Zachariae Glacier (2015-2017), v1.1 (illustrates accelerating ice flow contributing to sea-level rise, providing narrative support for discussing long-term coastal flooding risks to operations)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (long-term drying or wetting trends inform how business continuity risks from droughts and floods may evolve over the lifetime of infrastructure); fedeo.ceos.org-2. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product, v2.31 (multi-year salinity trends support discussion of changing oceanographic and coastal conditions that may affect storm surge and flooding risks relevant to continuity planning)","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number of patent litigation cases","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number successful","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number as patent holder","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Amount of legal and regulatory fines and settlements associated with anti-competitive practices","Quantitative","U.S. dollars ($)","TC0102-17","","","","","",""
