"Sector","Topic","Metric","Category","Unit of Measure","Code","Direct Measurement","Risk Assessment","Risk Insights","Trend Analysis","Benchmarking","Regulatory Support"
"Software & IT Services","Data Privacy & Freedom of Expression","Amount of legal and regulatory fines and settlements associated with customer privacy","Quantitative","U.S. dollars ($)","TC0102-06","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Number of government or law enforcement requests for customer information","Quantitative","Number","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Number of records requested","Quantitative","Number","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage resulting in disclosure","Quantitative","Percentage (%)","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring","Discussion and Analysis","n/a","TC0102-08","","","","","",""
"Software & IT Services","Data Security","Number of data security breaches","Quantitative","Number","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Percentage involving customers' personally identifiable information (PII)","Quantitative","Percentage (%)","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Number of customers affected","Quantitative","Number","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Discussion of management approach to identifying and addressing data security risks","Discussion and Analysis","n/a","TC0102-10","","","","","",""
"Software & IT Services","Data Security","Percentage of operations, by revenue, independently certified to a suitable third-party cybersecurity management standard","Quantitative","Percentage (%)","TA03-05-01","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of employees that are foreign nationals","Quantitative","Percentage (%)","TC0102-11","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of employees located offshore","Quantitative","Percentage (%)","TC0102-11","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Employee engagement as a percentage","Quantitative","Percentage (%)","TC0102-12","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of gender and racial/ethnic group representation for executives","Quantitative","Percentage (%)","TC0102-13","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of gender and racial/ethnic group representation for all others","Quantitative","Percentage (%)","TC0102-13","","","","","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Number of performance issues","Quantitative","Number","TC0102-14","","","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (daily global LST helps characterize heatwave and high-temperature conditions that can degrade server performance or cooling efficiency, providing environmental context for interpreting performance incidents); fedeo.ceos.org-2. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere v5.0 (modeled ground temperature fields indicate regions of permafrost thaw or instability that could affect physical infrastructure supporting network and data center operations in high-latitude locations)","fedeo.ceos.org-1. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere v5.0 (1997–2023 annual ground temperature time series at multiple depths enables tracking long-term permafrost degradation trends that may increase infrastructure instability risk and associated performance issues in affected regions); fedeo.ceos.org-2. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (2018–2020 daily LST trends can be correlated with historical performance incident data to understand how increasing heat extremes may drive future performance risk)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Number of service disruptions","Quantitative","Number","TC0102-14","","","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (environmental heat stress context for understanding when extreme temperatures may contribute to service outages, especially where cooling capacity is constrained); fedeo.ceos.org-2. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere v5.0 (ground temperature patterns highlight areas where thawing permafrost could compromise foundations, power lines, or fiber routes, indirectly increasing disruption risk)","fedeo.ceos.org-1. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere v5.0 (multi-decade permafrost temperature trends can be compared with disruption histories in Arctic and sub-Arctic regions to assess growing systemic risk from ground instability); fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (long-term soil moisture trends help identify increasing flood or drought tendencies that may correlate with higher rates of service disruptions due to environmental hazards)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Total customer downtime","Quantitative","Days","TC0102-14","","","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (daily LST fields can be used to contextualize periods of elevated thermal stress that may coincide with extended downtime events, supporting post-event analysis but not measuring downtime directly); fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (soil moisture anomalies can indicate flood or drought conditions that may underlie prolonged outages, providing environmental context for downtime metrics)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (1978–2021 daily soil moisture enables trend analysis of hydrological extremes that could increasingly drive multi-day outages, informing long-term downtime risk trends); fedeo.ceos.org-2. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product v2.31 (2010–2019 weekly SSS time series can support analysis of changing oceanographic regimes that may affect coastal infrastructure exposure to storms and surges, indirectly influencing downtime trends for coastal data centers and cables)","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Discussion of business continuity risks related to disruptions of operations","Discussion and Analysis","n/a","TC0102-15","","fedeo.ceos.org-1. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere v5.0 (annual ground temperature fields at multiple depths identify regions of permafrost presence and thaw, supporting assessment of physical stability risks to facilities, power, and connectivity infrastructure relevant to business continuity); fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (global daily soil moisture in volumetric units provides information on drought and saturation conditions that can be used to map areas at higher risk of flood, landslide, or subsidence affecting operations); fedeo.ceos.org-3. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product v2.31 (sea surface salinity patterns inform large-scale ocean circulation and freshwater input, which are used in some hazard models for coastal storminess and surge risk affecting coastal data centers and submarine cables)","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m (high-resolution land cover around facilities helps understand exposure to flammable vegetation, floodplains, or urban environments, providing contextual insight for continuity planning); fedeo.ceos.org-2. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (LST patterns highlight heat-prone regions and urban heat islands that may stress cooling systems and power infrastructure, informing qualitative continuity risk narratives); fedeo.ceos.org-3. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (surface soil moisture saturation information offers context on short-term wetness conditions that can exacerbate flood or landslide susceptibility near key assets)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (multi-decadal soil moisture record supports analysis of changing drought and flood regimes that may alter long-term business continuity risk profiles across the asset portfolio); fedeo.ceos.org-2. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere v5.0 (1997–2023 permafrost temperature trends reveal progressive thaw and loss of ground stability, informing forward-looking continuity risk assessments for northern infrastructure); fedeo.ceos.org-3. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product v2.31 (2010–2019 SSS trends contribute to understanding evolving oceanographic conditions that may influence coastal hazard regimes relevant to business continuity)","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number of patent litigation cases","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number successful","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number as patent holder","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Amount of legal and regulatory fines and settlements associated with anti-competitive practices","Quantitative","U.S. dollars ($)","TC0102-17","","","","","",""
